input_id	dealiased_id	standard_id	short_id
doi:10.1016/j.xphs.2016.11.011	doi:10.1016/j.xphs.2016.11.011	doi:10.1016/j.xphs.2016.11.011	Vu1f6wmd
doi:10.1016/j.ijpharm.2013.01.062	doi:10.1016/j.ijpharm.2013.01.062	doi:10.1016/j.ijpharm.2013.01.062	9XSo86vE
doi:10.1039/c0an00352b	doi:10.1039/c0an00352b	doi:10.1039/c0an00352b	8hsFY7pn
doi:10.1007/s00216-006-0950-z	doi:10.1007/s00216-006-0950-z	doi:10.1007/s00216-006-0950-z	1GTjZYdpk
doi:10.1016/j.talanta.2018.11.027	doi:10.1016/j.talanta.2018.11.027	doi:10.1016/j.talanta.2018.11.027	1ElQCA6hC
doi:10.1016/j.addr.2015.04.003	doi:10.1016/j.addr.2015.04.003	doi:10.1016/j.addr.2015.04.003	YUItDAnD
doi:10.1126/science.1104404	doi:10.1126/science.1104404	doi:10.1126/science.1104404	8OEKQBYr
doi:10.1039/b418697d	doi:10.1039/b418697d	doi:10.1039/b418697d	nGY6XRTE
doi:10.1039/c5an00112a	doi:10.1039/c5an00112a	doi:10.1039/c5an00112a	1A0sMbTaa
doi:10.1002/jms.2010	doi:10.1002/jms.2010	doi:10.1002/jms.2010	tvTiSD66
doi:10.1007/s00216-019-02151-z	doi:10.1007/s00216-019-02151-z	doi:10.1007/s00216-019-02151-z	sLghpFT8
doi:10.1016/j.bbalip.2011.05.006	doi:10.1016/j.bbalip.2011.05.006	doi:10.1016/j.bbalip.2011.05.006	1ClzsqfDW
doi:10.1021/ac050989d	doi:10.1021/ac050989d	doi:10.1021/ac050989d	1EVpL1egt
doi:10.1002/rcm.2280	doi:10.1002/rcm.2280	doi:10.1002/rcm.2280	or5TqRX6
doi:10.1016/j.jasms.2007.11.016	doi:10.1016/j.jasms.2007.11.016	doi:10.1016/j.jasms.2007.11.016	Cc9lNkvZ
doi:10.1039/b809471c	doi:10.1039/b809471c	doi:10.1039/b809471c	4iiQhDKH
doi:10.1039/b517357d	doi:10.1039/b517357d	doi:10.1039/b517357d	1Gg9u8kt2
doi:10.1021/acs.analchem.9b00520	doi:10.1021/acs.analchem.9b00520	doi:10.1021/acs.analchem.9b00520	UuPy88nX
doi:10.1016/j.aca.2014.03.039	doi:10.1016/j.aca.2014.03.039	doi:10.1016/j.aca.2014.03.039	TuCEd7AU
doi:10.1007/s00521-016-2736-3	doi:10.1007/s00521-016-2736-3	doi:10.1007/s00521-016-2736-3	e0eRY8v5
doi:10.1016/j.csbj.2020.07.009	doi:10.1016/j.csbj.2020.07.009	doi:10.1016/j.csbj.2020.07.009	ydPgvUPy
doi:10.1007/s11306-017-1242-7	doi:10.1007/s11306-017-1242-7	doi:10.1007/s11306-017-1242-7	qcR4mVsb
doi:10.1038/s41416-018-0048-3	doi:10.1038/s41416-018-0048-3	doi:10.1038/s41416-018-0048-3	O5djQ3nR
doi:10.1021/acs.jafc.6b01041	doi:10.1021/acs.jafc.6b01041	doi:10.1021/acs.jafc.6b01041	g08cPiPx
doi:10.1021/ac5046752	doi:10.1021/ac5046752	doi:10.1021/ac5046752	fKTaMhqM
doi:10.1186/s13058-017-0845-2	doi:10.1186/s13058-017-0845-2	doi:10.1186/s13058-017-0845-2	1Dw5WtMxe
doi:10.1039/C3AN36843B	doi:10.1039/C3AN36843B	doi:10.1039/c3an36843b	jh1jwVUX
doi:10.1366/000370206779321463	doi:10.1366/000370206779321463	doi:10.1366/000370206779321463	13x0WMYJq
doi:10.1016/j.jpba.2010.10.029	doi:10.1016/j.jpba.2010.10.029	doi:10.1016/j.jpba.2010.10.029	vvUUyBtN
doi:10.1366/000370207782597085	doi:10.1366/000370207782597085	doi:10.1366/000370207782597085	eL1MOkeG
doi:10.1366/11-06259	doi:10.1366/11-06259	doi:10.1366/11-06259	Qy6BdVBn
doi:10.1016/j.trac.2020.116157	doi:10.1016/j.trac.2020.116157	doi:10.1016/j.trac.2020.116157	1EsJaNvp
doi:10.1002/jrs.882	doi:10.1002/jrs.882	doi:10.1002/jrs.882	ubp6jD46
doi:10.1002/jbio.200810024	doi:10.1002/jbio.200810024	doi:10.1002/jbio.200810024	koyIoA0l
doi:10.1155/2016/1603609	doi:10.1155/2016/1603609	doi:10.1155/2016/1603609	hmGuG8Yj
doi:10.1002/bip.20448	doi:10.1002/bip.20448	doi:10.1002/bip.20448	orJZ0nNQ
doi:10.1002/jrs.5343	doi:10.1002/jrs.5343	doi:10.1002/jrs.5343	14piFxIYf
doi:10.1520/JFS15244J	doi:10.1520/JFS15244J	doi:10.1520/jfs15244j	W0VneN3Y
doi:10.1016/j.talanta.2010.01.046	doi:10.1016/j.talanta.2010.01.046	doi:10.1016/j.talanta.2010.01.046	6wD6szWs
doi:10.1016/j.jpba.2006.01.033	doi:10.1016/j.jpba.2006.01.033	doi:10.1016/j.jpba.2006.01.033	d5haWH7e
doi:10.1002/jrs.1621	doi:10.1002/jrs.1621	doi:10.1002/jrs.1621	TToYRrJQ
doi:10.1016/j.saa.2019.02.063	doi:10.1016/j.saa.2019.02.063	doi:10.1016/j.saa.2019.02.063	16nSdQZQl
doi:10.1002/cem.2609	doi:10.1002/cem.2609	doi:10.1002/cem.2609	5Jy2Axu0
doi:10.1016/j.jpba.2014.01.027	doi:10.1016/j.jpba.2014.01.027	doi:10.1016/j.jpba.2014.01.027	1FNJpTdZe
doi:10.1002/cem.1330	doi:10.1002/cem.1330	doi:10.1002/cem.1330	BmWj6JSS
doi:10.21105/joss.01686	doi:10.21105/joss.01686	doi:10.21105/joss.01686	EWll2pyF
https://www.tidymodels.org	https://www.tidymodels.org	url:https://www.tidymodels.org	4zds2yP
https://cran.r-project.org/package	https://cran.r-project.org/package	url:https://cran.r-project.org/package	WsAj0wOM
doi:10.1021/acs.analchem.6b02139	doi:10.1021/acs.analchem.6b02139	doi:10.1021/acs.analchem.6b02139	XgRF2vnB
doi:10.1016/j.vibspec.2007.12.016	doi:10.1016/j.vibspec.2007.12.016	doi:10.1016/j.vibspec.2007.12.016	1BDd0dQq8
doi:10.3390/pharmaceutics6040651	doi:10.3390/pharmaceutics6040651	doi:10.3390/pharmaceutics6040651	148KCDHV1
doi:10.1016/j.molstruc.2014.10.079	doi:10.1016/j.molstruc.2014.10.079	doi:10.1016/j.molstruc.2014.10.079	BoUXYyf5
